,country,year,age,Average_suicides_per_capita
893,Austria,1985-01-01,15-24 years,19.775
3334,Cuba,1995-01-01,25-34 years,19.775
11907,Spain,2008-01-01,75+ years,19.77
12690,Trinidad and Tobago,1990-01-01,55-74 years,19.77
6000,Iceland,2012-01-01,25-34 years,19.76
9929,Puerto Rico,1999-01-01,75+ years,19.759999999999998
2465,Canada,1986-01-01,25-34 years,19.759999999999998
10327,Romania,1993-01-01,35-54 years,19.755
11046,Serbia,2008-01-01,35-54 years,19.735
12242,Sweden,1996-01-01,55-74 years,19.73
6495,Italy,2001-01-01,75+ years,19.73
12309,Sweden,2007-01-01,75+ years,19.73
4919,Germany,2000-01-01,55-74 years,19.71
13555,United States,2006-01-01,75+ years,19.705000000000002
8938,Norway,1986-01-01,55-74 years,19.689999999999998
2751,Chile,2004-01-01,75+ years,19.689999999999998
748,Australia,1990-01-01,75+ years,19.685000000000002
7293,Kyrgyzstan,1998-01-01,75+ years,19.68
10402,Romania,2005-01-01,75+ years,19.675
10970,San Marino,1999-01-01,55-74 years,19.67
12688,Trinidad and Tobago,1990-01-01,35-54 years,19.665
9635,Poland,2008-01-01,75+ years,19.66
3755,Denmark,2001-01-01,55-74 years,19.66
8182,Mauritius,2000-01-01,25-34 years,19.66
8837,New Zealand,2003-01-01,75+ years,19.66
10462,Romania,2015-01-01,75+ years,19.659999999999997
3264,Croatia,2008-01-01,35-54 years,19.64
13714,Uruguay,2004-01-01,35-54 years,19.634999999999998
4447,Finland,2000-01-01,15-24 years,19.6
11258,Singapore,1994-01-01,55-74 years,19.595
10335,Romania,1994-01-01,55-74 years,19.59
5923,Iceland,1999-01-01,35-54 years,19.585
6761,Japan,1998-01-01,25-34 years,19.575
889,Australia,2015-01-01,35-54 years,19.575
4719,France,2014-01-01,35-54 years,19.57
8850,New Zealand,2006-01-01,15-24 years,19.565
5839,Iceland,1985-01-01,35-54 years,19.564999999999998
5609,Guyana,2001-01-01,75+ years,19.555
13573,United States,2009-01-01,75+ years,19.55
10194,Republic of Korea,1998-01-01,25-34 years,19.545
9581,Poland,1999-01-01,75+ years,19.540000000000003
12678,Trinidad and Tobago,1988-01-01,55-74 years,19.540000000000003
11492,Slovakia,2009-01-01,55-74 years,19.54
1985,Belize,2001-01-01,25-34 years,19.529999999999998
12774,Trinidad and Tobago,2004-01-01,55-74 years,19.525
3228,Croatia,2002-01-01,35-54 years,19.52
12457,Switzerland,2010-01-01,55-74 years,19.52
8024,Malta,2004-01-01,75+ years,19.51
6868,Kazakhstan,1990-01-01,15-24 years,19.505
7735,Luxembourg,1998-01-01,55-74 years,19.495
10365,Romania,1999-01-01,55-74 years,19.495
2739,Chile,2002-01-01,75+ years,19.485
4869,Germany,1992-01-01,35-54 years,19.485
9784,Portugal,2002-01-01,55-74 years,19.48
6125,Ireland,2001-01-01,25-34 years,19.475
3646,Czech Republic,2006-01-01,35-54 years,19.475
8737,New Zealand,1987-01-01,25-34 years,19.47
5568,Guyana,1994-01-01,15-24 years,19.465
10156,Republic of Korea,1991-01-01,75+ years,19.465
4530,Finland,2013-01-01,75+ years,19.46
2793,Chile,2011-01-01,75+ years,19.46
13644,Uruguay,1990-01-01,55-74 years,19.455
3749,Denmark,2000-01-01,55-74 years,19.450000000000003
12030,Suriname,1987-01-01,35-54 years,19.45
4610,France,1996-01-01,25-34 years,19.445
10420,Romania,2008-01-01,75+ years,19.44
12278,Sweden,2002-01-01,55-74 years,19.435000000000002
5959,Iceland,2005-01-01,35-54 years,19.435000000000002
8862,New Zealand,2008-01-01,15-24 years,19.43
9569,Poland,1995-01-01,75+ years,19.425
2526,Canada,1996-01-01,35-54 years,19.425
3676,Czech Republic,2011-01-01,35-54 years,19.419999999999998
8963,Norway,1990-01-01,75+ years,19.415
12102,Suriname,2001-01-01,35-54 years,19.415
3785,Denmark,2006-01-01,55-74 years,19.41
5575,Guyana,1995-01-01,25-34 years,19.41
1847,Belgium,2006-01-01,25-34 years,19.405
10150,Republic of Korea,1990-01-01,75+ years,19.405
4269,Estonia,2010-01-01,35-54 years,19.4
7618,Lithuania,2011-01-01,15-24 years,19.395
2044,Belize,2011-01-01,15-24 years,19.39
8941,Norway,1987-01-01,25-34 years,19.375
12327,Sweden,2010-01-01,75+ years,19.37
6863,Japan,2015-01-01,25-34 years,19.369999999999997
12260,Sweden,1999-01-01,55-74 years,19.355
12699,Trinidad and Tobago,1992-01-01,25-34 years,19.345
816,Australia,2002-01-01,25-34 years,19.335
10179,Republic of Korea,1995-01-01,55-74 years,19.33
7247,Kyrgyzstan,1991-01-01,25-34 years,19.32
12272,Sweden,2001-01-01,55-74 years,19.32
2471,Canada,1987-01-01,25-34 years,19.314999999999998
10419,Romania,2008-01-01,55-74 years,19.31
7499,Latvia,2012-01-01,25-34 years,19.305
12114,Suriname,2003-01-01,35-54 years,19.3
9557,Poland,1993-01-01,75+ years,19.299999999999997
7511,Latvia,2014-01-01,25-34 years,19.295
12798,Trinidad and Tobago,2008-01-01,55-74 years,19.290000000000003
10363,Romania,1999-01-01,35-54 years,19.29
6131,Ireland,2002-01-01,25-34 years,19.285
11028,Serbia,2005-01-01,35-54 years,19.275
12240,Sweden,1996-01-01,35-54 years,19.255000000000003
12487,Switzerland,2015-01-01,55-74 years,19.25
10162,Republic of Korea,1992-01-01,75+ years,19.245
4913,Germany,1999-01-01,55-74 years,19.245
10347,Romania,1996-01-01,55-74 years,19.240000000000002
12296,Sweden,2005-01-01,55-74 years,19.240000000000002
5241,Grenada,1994-01-01,35-54 years,19.235
8736,New Zealand,1987-01-01,15-24 years,19.225
5952,Iceland,2004-01-01,25-34 years,19.22
4536,Finland,2014-01-01,75+ years,19.215
6874,Kazakhstan,1991-01-01,15-24 years,19.215
10405,Romania,2006-01-01,35-54 years,19.21
1015,Austria,2005-01-01,35-54 years,19.21
3688,Czech Republic,2013-01-01,35-54 years,19.21
1799,Belgium,1998-01-01,25-34 years,19.205
10449,Romania,2013-01-01,55-74 years,19.2
3624,Czech Republic,2002-01-01,55-74 years,19.195
8838,New Zealand,2004-01-01,15-24 years,19.19
10425,Romania,2009-01-01,55-74 years,19.189999999999998
11420,Slovakia,1997-01-01,55-74 years,19.18
11022,Serbia,2004-01-01,35-54 years,19.18
12246,Sweden,1997-01-01,35-54 years,19.16
5988,Iceland,2010-01-01,25-34 years,19.155
10342,Romania,1995-01-01,75+ years,19.15
12481,Switzerland,2014-01-01,55-74 years,19.15
13434,United States,1986-01-01,55-74 years,19.145
6714,Japan,1990-01-01,35-54 years,19.14
3696,Czech Republic,2014-01-01,55-74 years,19.14
12028,Suriname,1987-01-01,15-24 years,19.14
2466,Canada,1986-01-01,35-54 years,19.14
12463,Switzerland,2011-01-01,55-74 years,19.14
6106,Ireland,1998-01-01,15-24 years,19.135
9880,Puerto Rico,1991-01-01,55-74 years,19.134999999999998
6720,Japan,1991-01-01,35-54 years,19.125
11937,Spain,2013-01-01,75+ years,19.12
10443,Romania,2012-01-01,55-74 years,19.11
5563,Guyana,1993-01-01,25-34 years,19.105
8825,New Zealand,2001-01-01,75+ years,19.105
5743,Hungary,2001-01-01,25-34 years,19.1
760,Australia,1992-01-01,75+ years,19.095
7717,Luxembourg,1995-01-01,55-74 years,19.09
10353,Romania,1997-01-01,55-74 years,19.085
4081,El Salvador,1999-01-01,15-24 years,19.075000000000003
13743,Uruguay,2009-01-01,25-34 years,19.075000000000003
12741,Trinidad and Tobago,1999-01-01,25-34 years,19.075
8537,Netherlands,1985-01-01,55-74 years,19.065
6100,Ireland,1997-01-01,15-24 years,19.065
2328,Bulgaria,1994-01-01,35-54 years,19.064999999999998
4483,Finland,2006-01-01,15-24 years,19.060000000000002
8974,Norway,1992-01-01,55-74 years,19.055
10359,Romania,1998-01-01,55-74 years,19.055
6119,Ireland,2000-01-01,25-34 years,19.05
12945,Turkmenistan,2001-01-01,25-34 years,19.05
8833,New Zealand,2003-01-01,25-34 years,19.05
10390,Romania,2003-01-01,75+ years,19.05
12248,Sweden,1997-01-01,55-74 years,19.05
431,Argentina,2007-01-01,75+ years,19.05
5943,Iceland,2002-01-01,55-74 years,19.04
9665,Poland,2013-01-01,75+ years,19.035
9688,Portugal,1986-01-01,55-74 years,19.03
3258,Croatia,2007-01-01,35-54 years,19.025
9844,Puerto Rico,1985-01-01,55-74 years,18.985
772,Australia,1994-01-01,75+ years,18.985
1757,Belgium,1991-01-01,25-34 years,18.975
10393,Romania,2004-01-01,35-54 years,18.974999999999998
6773,Japan,2000-01-01,25-34 years,18.97
10900,Saint Vincent and Grenadines,2005-01-01,15-24 years,18.97
2408,Bulgaria,2007-01-01,55-74 years,18.97
4533,Finland,2014-01-01,35-54 years,18.965
9790,Portugal,2003-01-01,55-74 years,18.96
3328,Cuba,1994-01-01,25-34 years,18.955000000000002
10860,Saint Vincent and Grenadines,1998-01-01,35-54 years,18.945
12795,Trinidad and Tobago,2008-01-01,25-34 years,18.94
7757,Luxembourg,2002-01-01,35-54 years,18.94
4925,Germany,2001-01-01,55-74 years,18.939999999999998
11518,Slovenia,1995-01-01,15-24 years,18.935000000000002
3276,Croatia,2010-01-01,35-54 years,18.935
5992,Iceland,2010-01-01,75+ years,18.915
3761,Denmark,2002-01-01,55-74 years,18.905
8789,New Zealand,1995-01-01,75+ years,18.885
2520,Canada,1995-01-01,35-54 years,18.88
7769,Luxembourg,2004-01-01,35-54 years,18.869999999999997
4527,Finland,2013-01-01,35-54 years,18.869999999999997
4490,Finland,2007-01-01,25-34 years,18.865
11925,Spain,2011-01-01,75+ years,18.865
8969,Norway,1991-01-01,75+ years,18.865
12419,Switzerland,2004-01-01,35-54 years,18.86
1763,Belgium,1992-01-01,25-34 years,18.855
7000,Kazakhstan,2012-01-01,15-24 years,18.855
6501,Italy,2002-01-01,75+ years,18.85
13606,United States,2015-01-01,35-54 years,18.845
4887,Germany,1995-01-01,35-54 years,18.845
3664,Czech Republic,2009-01-01,35-54 years,18.84
9617,Poland,2005-01-01,75+ years,18.84
6513,Italy,2004-01-01,75+ years,18.81
4514,Finland,2011-01-01,25-34 years,18.81
4721,France,2014-01-01,55-74 years,18.805
9905,Puerto Rico,1995-01-01,75+ years,18.805
948,Austria,1994-01-01,25-34 years,18.805
8152,Mauritius,1995-01-01,25-34 years,18.805
12054,Suriname,1991-01-01,35-54 years,18.8
11462,Slovakia,2004-01-01,55-74 years,18.79
3670,Czech Republic,2010-01-01,35-54 years,18.785
10429,Romania,2010-01-01,35-54 years,18.785
12425,Switzerland,2005-01-01,35-54 years,18.78
13440,United States,1987-01-01,55-74 years,18.78
3057,Costa Rica,1993-01-01,75+ years,18.78
3747,Denmark,2000-01-01,35-54 years,18.77
766,Australia,1993-01-01,75+ years,18.765
8123,Mauritius,1990-01-01,35-54 years,18.765
13755,Uruguay,2012-01-01,25-34 years,18.755
9575,Poland,1996-01-01,75+ years,18.75
8470,Mongolia,2016-01-01,35-54 years,18.75
1835,Belgium,2004-01-01,25-34 years,18.745
12747,Trinidad and Tobago,2000-01-01,25-34 years,18.744999999999997
8743,New Zealand,1988-01-01,25-34 years,18.740000000000002
4931,Germany,2002-01-01,55-74 years,18.740000000000002
2420,Bulgaria,2009-01-01,55-74 years,18.74
8749,New Zealand,1989-01-01,25-34 years,18.735
12732,Trinidad and Tobago,1997-01-01,55-74 years,18.724999999999998
13726,Uruguay,2006-01-01,35-54 years,18.72
1678,Belarus,2007-01-01,15-24 years,18.695
4093,El Salvador,2001-01-01,15-24 years,18.695
774,Australia,1995-01-01,25-34 years,18.69
10120,Republic of Korea,1985-01-01,75+ years,18.689999999999998
5965,Iceland,2006-01-01,35-54 years,18.685
10426,Romania,2009-01-01,75+ years,18.675
5869,Iceland,1990-01-01,35-54 years,18.67
4435,Finland,1998-01-01,15-24 years,18.665
744,Australia,1990-01-01,25-34 years,18.66
8972,Norway,1992-01-01,35-54 years,18.655
3315,Cuba,1992-01-01,15-24 years,18.655
9856,Puerto Rico,1987-01-01,55-74 years,18.654999999999998
6351,Israel,2008-01-01,75+ years,18.65
9647,Poland,2010-01-01,75+ years,18.65
12258,Sweden,1999-01-01,35-54 years,18.65
10408,Romania,2006-01-01,75+ years,18.64
9012,Norway,1999-01-01,15-24 years,18.64
9629,Poland,2007-01-01,75+ years,18.634999999999998
9878,Puerto Rico,1991-01-01,35-54 years,18.625
905,Austria,1987-01-01,15-24 years,18.625
8851,New Zealand,2006-01-01,25-34 years,18.625
12290,Sweden,2004-01-01,55-74 years,18.62
10413,Romania,2007-01-01,55-74 years,18.615000000000002
9887,Puerto Rico,1992-01-01,75+ years,18.61
12413,Switzerland,2003-01-01,35-54 years,18.605
4039,El Salvador,1991-01-01,15-24 years,18.585
7726,Luxembourg,1997-01-01,25-34 years,18.58
8773,New Zealand,1993-01-01,25-34 years,18.58
7705,Luxembourg,1993-01-01,55-74 years,18.575
4219,Estonia,2002-01-01,15-24 years,18.575
4937,Germany,2003-01-01,55-74 years,18.57
9653,Poland,2011-01-01,75+ years,18.56
13677,Uruguay,1998-01-01,25-34 years,18.555
5991,Iceland,2010-01-01,55-74 years,18.55
6254,Israel,1992-01-01,55-74 years,18.55
936,Austria,1992-01-01,25-34 years,18.545
7678,Luxembourg,1989-01-01,25-34 years,18.545
7265,Kyrgyzstan,1994-01-01,25-34 years,18.540000000000003
5551,Guyana,1991-01-01,25-34 years,18.535
9611,Poland,2004-01-01,75+ years,18.535
3741,Denmark,1999-01-01,35-54 years,18.53
4465,Finland,2003-01-01,15-24 years,18.53
10612,Russian Federation,2013-01-01,15-24 years,18.53
3300,Croatia,2014-01-01,35-54 years,18.52
9674,Poland,2015-01-01,35-54 years,18.515
12266,Sweden,2000-01-01,55-74 years,18.51
785,Australia,1997-01-01,15-24 years,18.51
960,Austria,1996-01-01,25-34 years,18.505
13600,United States,2014-01-01,35-54 years,18.5
5989,Iceland,2010-01-01,35-54 years,18.5
1021,Austria,2006-01-01,35-54 years,18.5
6785,Japan,2002-01-01,25-34 years,18.495
10312,Romania,1990-01-01,75+ years,18.495
930,Austria,1991-01-01,25-34 years,18.485
1992,Belize,2002-01-01,35-54 years,18.475
7316,Kyrgyzstan,2002-01-01,55-74 years,18.47
12362,Sweden,2016-01-01,75+ years,18.47
13762,Uruguay,2013-01-01,35-54 years,18.47
2468,Canada,1986-01-01,55-74 years,18.47
13588,United States,2012-01-01,35-54 years,18.46
3702,Czech Republic,2015-01-01,55-74 years,18.455
10213,Republic of Korea,2001-01-01,35-54 years,18.445
8543,Netherlands,1986-01-01,55-74 years,18.439999999999998
10414,Romania,2007-01-01,75+ years,18.435000000000002
2472,Canada,1987-01-01,35-54 years,18.435
6071,Ireland,1992-01-01,25-34 years,18.43
5933,Iceland,2001-01-01,15-24 years,18.425
635,Aruba,1999-01-01,15-24 years,18.425
12209,Sweden,1991-01-01,25-34 years,18.424999999999997
5914,Iceland,1997-01-01,75+ years,18.42
13428,United States,1985-01-01,55-74 years,18.42
10455,Romania,2014-01-01,55-74 years,18.42
12203,Sweden,1990-01-01,25-34 years,18.42
11510,Slovakia,2013-01-01,55-74 years,18.415
2481,Canada,1988-01-01,75+ years,18.405
12748,Trinidad and Tobago,2000-01-01,35-54 years,18.405
3666,Czech Republic,2009-01-01,55-74 years,18.395
4881,Germany,1994-01-01,35-54 years,18.395
10396,Romania,2004-01-01,75+ years,18.39
3648,Czech Republic,2006-01-01,55-74 years,18.385
9547,Poland,1992-01-01,25-34 years,18.385
732,Australia,1988-01-01,25-34 years,18.380000000000003
10378,Romania,2001-01-01,75+ years,18.38
7302,Kyrgyzstan,2000-01-01,35-54 years,18.38
4542,Finland,2015-01-01,75+ years,18.36
6689,Japan,1986-01-01,25-34 years,18.36
4943,Germany,2004-01-01,55-74 years,18.35
966,Austria,1997-01-01,25-34 years,18.35
2495,Canada,1991-01-01,25-34 years,18.35
5544,Guyana,1990-01-01,15-24 years,18.345
8945,Norway,1987-01-01,75+ years,18.345
11330,Singapore,2006-01-01,55-74 years,18.335
3654,Czech Republic,2007-01-01,55-74 years,18.33
11010,Serbia,2002-01-01,35-54 years,18.32
1751,Belgium,1990-01-01,25-34 years,18.315
11468,Slovakia,2005-01-01,55-74 years,18.314999999999998
10224,Republic of Korea,2003-01-01,25-34 years,18.310000000000002
750,Australia,1991-01-01,25-34 years,18.3
2493,Canada,1990-01-01,75+ years,18.29
10998,Serbia,2000-01-01,35-54 years,18.285
12035,Suriname,1988-01-01,25-34 years,18.265
5855,Iceland,1988-01-01,15-24 years,18.265
11076,Serbia,2013-01-01,35-54 years,18.259999999999998
4500,Finland,2008-01-01,75+ years,18.259999999999998
7365,Kyrgyzstan,2010-01-01,75+ years,18.25
13700,Uruguay,2002-01-01,15-24 years,18.244999999999997
13197,Ukraine,2015-01-01,25-34 years,18.244999999999997
13766,Uruguay,2014-01-01,15-24 years,18.240000000000002
1009,Austria,2004-01-01,35-54 years,18.24
4075,El Salvador,1998-01-01,15-24 years,18.235
12394,Switzerland,2000-01-01,25-34 years,18.23
6192,Ireland,2012-01-01,35-54 years,18.225
8622,Netherlands,1999-01-01,75+ years,18.22
7790,Luxembourg,2007-01-01,75+ years,18.22
12726,Trinidad and Tobago,1996-01-01,55-74 years,18.22
7660,Luxembourg,1986-01-01,25-34 years,18.215
8155,Mauritius,1995-01-01,55-74 years,18.215
2508,Canada,1993-01-01,35-54 years,18.21
13602,United States,2014-01-01,55-74 years,18.21
12302,Sweden,2006-01-01,55-74 years,18.205
11426,Slovakia,1998-01-01,55-74 years,18.2
479,Argentina,2015-01-01,75+ years,18.195
10811,Saint Lucia,2014-01-01,25-34 years,18.19
7952,Malta,1992-01-01,75+ years,18.18
5983,Iceland,2009-01-01,35-54 years,18.18
4287,Estonia,2013-01-01,35-54 years,18.175
8194,Mauritius,2002-01-01,25-34 years,18.175
883,Australia,2014-01-01,35-54 years,18.17
10399,Romania,2005-01-01,35-54 years,18.17
8953,Norway,1989-01-01,25-34 years,18.17
768,Australia,1994-01-01,25-34 years,18.17
2477,Canada,1988-01-01,25-34 years,18.17
12058,Suriname,1992-01-01,15-24 years,18.17
10341,Romania,1995-01-01,55-74 years,18.165
13582,United States,2011-01-01,35-54 years,18.165
11919,Spain,2010-01-01,75+ years,18.16
12270,Sweden,2001-01-01,35-54 years,18.145
13608,United States,2015-01-01,55-74 years,18.145
6108,Ireland,1998-01-01,35-54 years,18.145
4459,Finland,2002-01-01,15-24 years,18.145
793,Australia,1998-01-01,35-54 years,18.145
10432,Romania,2010-01-01,75+ years,18.14
6779,Japan,2001-01-01,25-34 years,18.134999999999998
9599,Poland,2002-01-01,75+ years,18.13
10207,Republic of Korea,2000-01-01,35-54 years,18.125
7805,Luxembourg,2010-01-01,35-54 years,18.115000000000002
4405,Finland,1993-01-01,15-24 years,18.115
11561,Slovenia,2002-01-01,25-34 years,18.115
9677,Poland,2015-01-01,75+ years,18.11
8634,Netherlands,2001-01-01,75+ years,18.095
5929,Iceland,2000-01-01,35-54 years,18.095
8868,New Zealand,2009-01-01,15-24 years,18.095
4225,Estonia,2003-01-01,15-24 years,18.08
2474,Canada,1987-01-01,55-74 years,18.08
9989,Puerto Rico,2009-01-01,75+ years,18.075
11444,Slovakia,2001-01-01,55-74 years,18.075
8224,Mauritius,2007-01-01,25-34 years,18.075
6026,Iceland,2016-01-01,55-74 years,18.075
10650,Saint Lucia,1986-01-01,35-54 years,18.07
10480,Russian Federation,1991-01-01,15-24 years,18.065
8844,New Zealand,2005-01-01,15-24 years,18.064999999999998
8091,Mauritius,1985-01-01,15-24 years,18.064999999999998
316,Argentina,1988-01-01,55-74 years,18.060000000000002
8814,New Zealand,2000-01-01,15-24 years,18.06
2045,Belize,2011-01-01,25-34 years,18.055
6398,Italy,1985-01-01,55-74 years,18.055
8628,Netherlands,2000-01-01,75+ years,18.05
12669,Trinidad and Tobago,1987-01-01,25-34 years,18.05
12252,Sweden,1998-01-01,35-54 years,18.05
4489,Finland,2007-01-01,15-24 years,18.045
10866,Saint Vincent and Grenadines,1999-01-01,35-54 years,18.045
4875,Germany,1993-01-01,35-54 years,18.044999999999998
2489,Canada,1990-01-01,25-34 years,18.04
13594,United States,2013-01-01,35-54 years,18.035
6186,Ireland,2011-01-01,35-54 years,18.015
4231,Estonia,2004-01-01,15-24 years,18.009999999999998
8549,Netherlands,1987-01-01,55-74 years,18.009999999999998
3658,Czech Republic,2008-01-01,35-54 years,18.005000000000003
4177,Estonia,1995-01-01,15-24 years,18.0
2757,Chile,2005-01-01,75+ years,18.0
4616,France,1997-01-01,25-34 years,18.0
10456,Romania,2014-01-01,75+ years,17.995
9545,Poland,1991-01-01,75+ years,17.995
1745,Belgium,1989-01-01,25-34 years,17.995
10138,Republic of Korea,1988-01-01,75+ years,17.99
12877,Turkmenistan,1989-01-01,75+ years,17.985
4238,Estonia,2005-01-01,25-34 years,17.98
1630,Belarus,1996-01-01,15-24 years,17.975
4899,Germany,1997-01-01,35-54 years,17.97
2438,Bulgaria,2012-01-01,55-74 years,17.97
13576,United States,2010-01-01,35-54 years,17.965
8113,Mauritius,1988-01-01,55-74 years,17.96
8171,Mauritius,1998-01-01,35-54 years,17.95
1805,Belgium,1999-01-01,25-34 years,17.95
3652,Czech Republic,2007-01-01,35-54 years,17.945
2376,Bulgaria,2002-01-01,35-54 years,17.945
5911,Iceland,1997-01-01,35-54 years,17.935
5681,Guyana,2013-01-01,75+ years,17.93
12986,Turkmenistan,2008-01-01,15-24 years,17.92
10377,Romania,2001-01-01,55-74 years,17.915
11505,Slovakia,2012-01-01,75+ years,17.900000000000002
3306,Croatia,2015-01-01,35-54 years,17.895
12750,Trinidad and Tobago,2000-01-01,55-74 years,17.895
11064,Serbia,2011-01-01,35-54 years,17.89
3694,Czech Republic,2014-01-01,35-54 years,17.89
10461,Romania,2015-01-01,55-74 years,17.884999999999998
11516,Slovakia,2014-01-01,55-74 years,17.88
2370,Bulgaria,2001-01-01,35-54 years,17.87
7271,Kyrgyzstan,1995-01-01,25-34 years,17.865000000000002
11463,Slovakia,2004-01-01,75+ years,17.865000000000002
7034,Kiribati,1992-01-01,55-74 years,17.865
3729,Denmark,1997-01-01,35-54 years,17.865
2514,Canada,1994-01-01,35-54 years,17.855
3021,Costa Rica,1987-01-01,75+ years,17.855
8965,Norway,1991-01-01,25-34 years,17.855
11096,Seychelles,1985-01-01,55-74 years,17.855
2519,Canada,1995-01-01,25-34 years,17.845
310,Argentina,1987-01-01,55-74 years,17.845
11496,Slovakia,2010-01-01,35-54 years,17.845
7012,Kazakhstan,2014-01-01,15-24 years,17.835
8598,Netherlands,1995-01-01,75+ years,17.835
13458,United States,1990-01-01,55-74 years,17.830000000000002
2483,Canada,1989-01-01,25-34 years,17.825
8734,New Zealand,1986-01-01,55-74 years,17.82
787,Australia,1997-01-01,35-54 years,17.81
3803,Denmark,2009-01-01,55-74 years,17.805
7329,Kyrgyzstan,2004-01-01,75+ years,17.805
3753,Denmark,2001-01-01,35-54 years,17.805
9605,Poland,2003-01-01,75+ years,17.8
11487,Slovakia,2008-01-01,75+ years,17.8
13570,United States,2009-01-01,35-54 years,17.8
10467,Romania,2016-01-01,75+ years,17.8
8156,Mauritius,1995-01-01,75+ years,17.795
5935,Iceland,2001-01-01,35-54 years,17.775
2475,Canada,1987-01-01,75+ years,17.775
12318,Sweden,2009-01-01,35-54 years,17.775
2556,Canada,2001-01-01,35-54 years,17.77
6173,Ireland,2009-01-01,25-34 years,17.76
756,Australia,1992-01-01,25-34 years,17.759999999999998
13446,United States,1988-01-01,55-74 years,17.755000000000003
4142,El Salvador,2009-01-01,25-34 years,17.755000000000003
8892,New Zealand,2013-01-01,15-24 years,17.75
8728,New Zealand,1985-01-01,55-74 years,17.745
12320,Sweden,2009-01-01,55-74 years,17.735
8857,New Zealand,2007-01-01,25-34 years,17.725
2568,Canada,2003-01-01,35-54 years,17.72
2346,Bulgaria,1997-01-01,35-54 years,17.72
10877,Saint Vincent and Grenadines,2001-01-01,25-34 years,17.715
9850,Puerto Rico,1986-01-01,55-74 years,17.715
12700,Trinidad and Tobago,1992-01-01,35-54 years,17.715
8050,Malta,2009-01-01,25-34 years,17.715
13626,Uruguay,1987-01-01,55-74 years,17.705
7426,Latvia,2000-01-01,15-24 years,17.7
2811,Chile,2014-01-01,75+ years,17.689999999999998
11366,Singapore,2012-01-01,55-74 years,17.685000000000002
917,Austria,1989-01-01,15-24 years,17.685000000000002
11567,Slovenia,2003-01-01,25-34 years,17.67
10441,Romania,2012-01-01,35-54 years,17.66
2316,Bulgaria,1992-01-01,35-54 years,17.66
738,Australia,1989-01-01,25-34 years,17.655
10423,Romania,2009-01-01,35-54 years,17.650000000000002
6113,Ireland,1999-01-01,25-34 years,17.65
4207,Estonia,2000-01-01,15-24 years,17.65
751,Australia,1991-01-01,35-54 years,17.65
13754,Uruguay,2012-01-01,15-24 years,17.645
11246,Singapore,1992-01-01,55-74 years,17.645
8839,New Zealand,2004-01-01,25-34 years,17.64
7838,Luxembourg,2015-01-01,75+ years,17.634999999999998
11040,Serbia,2007-01-01,35-54 years,17.630000000000003
10703,Saint Lucia,1995-01-01,25-34 years,17.63
2777,Chile,2009-01-01,25-34 years,17.63
461,Argentina,2012-01-01,75+ years,17.625
13596,United States,2013-01-01,55-74 years,17.625
10835,Saint Vincent and Grenadines,1990-01-01,25-34 years,17.62
12294,Sweden,2005-01-01,35-54 years,17.615
1841,Belgium,2005-01-01,25-34 years,17.615
437,Argentina,2008-01-01,75+ years,17.61
10474,Russian Federation,1990-01-01,15-24 years,17.605
2462,Canada,1985-01-01,55-74 years,17.6
2775,Chile,2008-01-01,75+ years,17.59
8992,Norway,1995-01-01,55-74 years,17.59
3821,Denmark,2012-01-01,55-74 years,17.59
8834,New Zealand,2003-01-01,35-54 years,17.59
12723,Trinidad and Tobago,1996-01-01,25-34 years,17.585
9872,Puerto Rico,1990-01-01,35-54 years,17.580000000000002
8999,Norway,1996-01-01,75+ years,17.58
5558,Guyana,1992-01-01,35-54 years,17.575
12951,Turkmenistan,2002-01-01,25-34 years,17.57
4501,Finland,2009-01-01,15-24 years,17.57
2478,Canada,1988-01-01,35-54 years,17.57
4949,Germany,2005-01-01,55-74 years,17.560000000000002
4087,El Salvador,2000-01-01,15-24 years,17.555
4519,Finland,2012-01-01,15-24 years,17.55
11498,Slovakia,2010-01-01,55-74 years,17.55
12431,Switzerland,2006-01-01,35-54 years,17.545
12370,Switzerland,1996-01-01,25-34 years,17.545
8181,Mauritius,2000-01-01,15-24 years,17.545
11070,Serbia,2012-01-01,35-54 years,17.535
4893,Germany,1996-01-01,35-54 years,17.535
729,Australia,1987-01-01,55-74 years,17.535
304,Argentina,1986-01-01,55-74 years,17.53
2501,Canada,1992-01-01,25-34 years,17.525000000000002
2532,Canada,1997-01-01,35-54 years,17.525
2580,Canada,2005-01-01,35-54 years,17.525
12326,Sweden,2010-01-01,55-74 years,17.525
9694,Portugal,1987-01-01,55-74 years,17.525
4539,Finland,2015-01-01,35-54 years,17.52
9700,Portugal,1988-01-01,55-74 years,17.52
6101,Ireland,1997-01-01,25-34 years,17.515
8134,Mauritius,1992-01-01,25-34 years,17.515
13452,United States,1989-01-01,55-74 years,17.505
4985,Germany,2011-01-01,55-74 years,17.495
4255,Estonia,2008-01-01,15-24 years,17.494999999999997
3779,Denmark,2005-01-01,55-74 years,17.49
12178,Suriname,2014-01-01,15-24 years,17.48
1033,Austria,2008-01-01,35-54 years,17.475
12344,Sweden,2013-01-01,55-74 years,17.46
8762,New Zealand,1991-01-01,35-54 years,17.455
7517,Latvia,2015-01-01,25-34 years,17.445
13564,United States,2008-01-01,35-54 years,17.44
8732,New Zealand,1986-01-01,35-54 years,17.439999999999998
